      85        85.WP1   33.04  -96.49   155.4   TX LAVON DAM
      86        86.WP1   33.24  -96.64   189.6   TX MCKINNEY
      87        87.WP1   31.96  -98.49   372.1   TX PROCTOR RSVR
      88        88.WP1   33.65  -97.06   265.2   TX GAINESVILLE 5 EN
      89        89.WP1   33.37  -97.01   210.3   TX PILOT POINT ISL
      90        90.WP1   32.08  -98.97   497.7   TX RISING STAR 1S
      91        91.WP1   32.43  -96.84   192.0   TX WAXAHACHIE
      92        92.WP1   32.25  -98.20   399.0   TX STEPHENVILLE 1 N
      93        93.WP1   33.70  -96.64   231.6   TX SHERMAN
      94        94.WP1   31.70  -98.10   384.0   TX HAMILTON 2E
      95        95.WP1   29.87  -97.92   186.5   TX SAN MARCOS
      96        96.WP1   33.67  -95.56   165.2   TX PARIS
      97        97.WP1   31.60  -97.22   150.9   TX WACO DAM
      98        98.WP1   31.62  -97.23   152.4   TX WACO RGNL AP
      99        99.WP1   32.75  -97.77   291.1   TX WEATHERFORD
     100       100.WP1   32.77  -98.93   406.0   TX BRECKENRIDGE 2 W
     101       101.WP1   33.18  -99.19   417.6   TX THROCKMORTON
     102       102.WP1   33.29  -99.10   374.9   TX THROCKMORTON 7 N
     103       103.WP1   30.32  -96.16    65.5   TX WASHINGTON SP
     104       104.WP1   30.68  -97.72   256.0   TX GEORGETOWN LAKE
     105       105.WP1   30.70  -97.35   172.2   TX GRANGER DAM
     106       106.WP1   30.57  -97.41   172.2   TX TAYLOR
     107       107.WP1   30.58  -97.42   174.0   TX TAYLOR 1NW
     108       108.WP1   33.08  -97.56   222.5   TX BOYD
     109       109.WP1   31.33  -96.85    36.1   Riesel ARS Station



