    1 TX0016.DLY     32.41  -99.68   545.6    TX ABILENE RGNL AP
    2 TX0120.DLY     32.73  -99.30   426.7    TX ALBANY
    3 TX0268.DLY     32.75  -99.85   520.3    TX ANSON 3ESE
    4 TX0313.DLY     33.60  -98.61   321.2    TX ARCHER CITY 1E
    5 TX0337.DLY     32.74  -97.13   199.6    TX ARLINGTON
    6 TX0404.DLY     32.16  -95.83   136.5    TX ATHENS
    7 TX0428.DLY     30.32  -97.76   204.2    TX AUSTIN-CAMP MABR
    8 TX0518.DLY     32.26  -96.64   140.5    TX BARDWELL DAM
    9 TX0639.DLY     28.46  -97.71    77.7    TX BEEVILLE 5 NE
   10 TX0665.DLY     31.10  -97.48   202.4    TX BELTON DAM
   11 TX0691.DLY     32.65  -97.44   240.8    TX BENBROOK DAM
   12 TX0832.DLY     30.11  -98.43   419.1    TX BLANCO
   13 TX0902.DLY     29.80  -98.74   440.1    TX BOERNE
   14 TX0923.DLY     33.64  -96.17   182.9    TX BONHAM 3NNE
   15 TX0984.DLY     33.55  -97.85   329.2    TX BOWIE
   16 TX1017.DLY     31.14  -99.35   521.2    TX BRADY
   17 TX1042.DLY     32.75  -98.90   356.6    TX BRECKENRIDGE
   18 TX1048.DLY     30.16  -96.40    95.4    TX BRENHAM
   19 TX1063.DLY     33.21  -97.78   234.4    TX BRIDGEPORT
   20 TX1138.DLY     31.74  -98.95   426.7    TX BROWNWOOD 2ENE
   21 TX1246.DLY     32.51  -97.34   232.2    TX BURLESON
   22 TX1250.DLY     30.76  -98.23   391.6    TX BURNET
   23 TX1348.DLY     30.85  -96.97   110.9    TX CAMERON
   24 TX1429.DLY     29.87  -98.20   304.8    TX CANYON DAM
   25 TX1596.DLY     31.26  -95.97    97.5    TX CENTERVILLE
   26 TX1772.DLY     33.62  -95.07   132.6    TX CLARKSVILLE 2NE
   27 TX1800.DLY     32.31  -97.41   238.6    TX CLEBURNE
   28 TX1875.DLY     31.82  -99.42   526.4    TX COLEMAN
   29 TX1889.DLY     30.59  -96.37    93.0    TX CLG STN EASTERWD
   30 TX1911.DLY     29.70  -96.57    68.6    TX COLUMBUS
   31 TX2019.DLY     32.12  -96.49   136.8    TX CORSICANA
