Year,Month,Day,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(grams)
1998,3,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,3,30,0.0003,0,-999,-999,-999,-999,-999,-999,-999
1998,3,31,0.0005,0,-999,-999,-999,-999,-999,-999,-999
1998,4,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,4,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,5,31,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,6,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,9,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,10,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,11,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,12,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,13,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,14,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,15,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,16,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,17,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,18,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,19,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,20,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,21,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,22,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,23,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,24,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,25,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,26,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,27,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,28,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,29,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,30,0,0,-999,-999,-999,-999,-999,-999,-999
1998,7,31,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,1,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,2,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,3,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,4,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,5,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,6,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,7,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,8,0,0,-999,-999,-999,-999,-999,-999,-999
1998,8,9,0,0,-999,-999,-999,-999,-999,-999,-999
