Year,Month,Wyld(mm),Runoff(mm),QDR(mm),RESQ(mm),PET(mm),ET(mm),SW(mm),Sed(t/ha),QN(kg/ha),QP(kg/ha),OrgN(kg/ha),OrgP(kg/ha),QDRN(kg/ha),QDRP(kg/ha),RSD(t/ha),SoilTmp(C)
1999,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1999,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,1,-999,0.04,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,2,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,3,-999,0.78,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,4,-999,0.71,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,5,-999,6.2,-999,-999,-999,-999,-999,0.0137,-999,-999,-999,-999,-999,-999,-999,-999
2000,6,-999,5.26,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2000,11,-999,77.81,-999,-999,-999,-999,-999,0.5233,-999,-999,-999,-999,-999,-999,-999,-999
2000,12,-999,57.14,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,1,-999,51.95,-999,-999,-999,-999,-999,0.1298,-999,-999,-999,-999,-999,-999,-999,-999
2001,2,-999,20.76,-999,-999,-999,-999,-999,0.0294,-999,-999,-999,-999,-999,-999,-999,-999
2001,3,-999,53.9,-999,-999,-999,-999,-999,0.1027,-999,-999,-999,-999,-999,-999,-999,-999
2001,4,-999,0.02,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,5,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,6,-999,0.58,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
2001,8,-999,29.15,-999,-999,-999,-999,-999,0.3199,-999,-999,-999,-999,-999,-999,-999,-999
2001,9,-999,11.1,-999,-999,-999,-999,-999,0.0675,-999,-999,-999,-999,-999,-999,-999,-999
2001,10,-999,7.6,-999,-999,-999,-999,-999,0.0235,-999,-999,-999,-999,-999,-999,-999,-999
2001,11,-999,19.69,-999,-999,-999,-999,-999,0.0523,-999,-999,-999,-999,-999,-999,-999,-999
2001,12,-999,113.7,-999,-999,-999,-999,-999,0.8109,-999,-999,-999,-999,-999,-999,-999,-999
2002,1,-999,1.06,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
