Year,Month,Flow(m3/s),Sed(tons),TN(kg),TP(kg),MinN(kg),OrgN(kg),MinP(kg),OrgP(kg),Tpest(g)
2004,4,0.0026,0.230724,-999,-999,-999,-999,-999,-999,-999
2004,5,0.0006548,0,-999,-999,-999,-999,-999,-999,-999
2004,6,0.03253,4.397067,-999,-999,-999,-999,-999,-999,-999
2004,7,0.0002161,0,-999,-999,-999,-999,-999,-999,-999
2004,8,0,0,-999,-999,-999,-999,-999,-999,-999
2004,9,0,0,-999,-999,-999,-999,-999,-999,-999
2004,10,0.008903,12.521214,-999,-999,-999,-999,-999,-999,-999
2004,11,0.02878,13.57722,-999,-999,-999,-999,-999,-999,-999
2004,12,0.001052,0.097614,-999,-999,-999,-999,-999,-999,-999
2005,1,0.002203,0,-999,-999,-999,-999,-999,-999,-999
2005,2,0.006661,1.490832,-999,-999,-999,-999,-999,-999,-999
2005,3,0.001448,0.159732,-999,-999,-999,-999,-999,-999,-999
2005,4,0,0,-999,-999,-999,-999,-999,-999,-999
2005,5,0,0,-999,-999,-999,-999,-999,-999,-999
2005,6,0,0,-999,-999,-999,-999,-999,-999,-999
2005,7,0,0,-999,-999,-999,-999,-999,-999,-999
2005,8,0.01141,15.5295,-999,-999,-999,-999,-999,-999,-999
2005,9,0,0,-999,-999,-999,-999,-999,-999,-999
2005,10,0,0,-999,-999,-999,-999,-999,-999,-999
2005,11,0,0,-999,-999,-999,-999,-999,-999,-999
2005,12,0,0,-999,-999,-999,-999,-999,-999,-999
2006,1,0,0,-999,-999,-999,-999,-999,-999,-999
2006,2,0,0,-999,-999,-999,-999,-999,-999,-999
2006,3,0.001813,0.794223,-999,-999,-999,-999,-999,-999,-999
2006,4,0,0,-999,-999,-999,-999,-999,-999,-999
2006,5,0.004648,4.272831,-999,-999,-999,-999,-999,-999,-999
2006,6,0,0,-999,-999,-999,-999,-999,-999,-999
2006,7,0.0002935,0,-999,-999,-999,-999,-999,-999,-999
2006,8,0,0,-999,-999,-999,-999,-999,-999,-999
2006,9,0,0,-999,-999,-999,-999,-999,-999,-999
2006,10,0,0,-999,-999,-999,-999,-999,-999,-999
2006,11,0,0,-999,-999,-999,-999,-999,-999,-999
2006,12,0,0,-999,-999,-999,-999,-999,-999,-999
2007,1,0.01747,4.503555,-999,-999,-999,-999,-999,-999,-999
2007,2,0,0,-999,-999,-999,-999,-999,-999,-999
2007,3,0.01769,2.533527,-999,-999,-999,-999,-999,-999,-999
2007,4,8.33E-05,0,-999,-999,-999,-999,-999,-999,-999
2007,5,0.02648,3.394305,-999,-999,-999,-999,-999,-999,-999
2007,6,0.01171,1.202427,-999,-999,-999,-999,-999,-999,-999
2007,7,0.01225,1.921221,-999,-999,-999,-999,-999,-999,-999
2007,8,3.23E-06,0,-999,-999,-999,-999,-999,-999,-999
2007,9,0,0,-999,-999,-999,-999,-999,-999,-999
2007,10,0,0,-999,-999,-999,-999,-999,-999,-999
2007,11,2.67E-05,0,-999,-999,-999,-999,-999,-999,-999
2007,12,0.0002194,0,-999,-999,-999,-999,-999,-999,-999
