Year,Month,Day,Wyld(mm),Runoff(mm),QDR(mm),RESQ(mm),PET(mm),ET(mm),SW(mm),Sed(t/ha),QN(kg/ha),QP(kg/ha),OrgN(kg/ha),OrgP(kg/ha),QDRN(kg/ha),QDRP(kg/ha),RSD(t/ha),SoilTmp(C)
1998,2,21,-999,5.24,-999,-999,-999,-999,-999,0.0217,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,22,-999,1.54,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,23,-999,0.1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,24,-999,0.04,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,25,-999,0.47,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,26,-999,6.48,-999,-999,-999,-999,-999,0.0137,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,27,-999,0.06,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,2,28,-999,0.02,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,1,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,2,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,3,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,4,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,5,-999,0.02,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,7,-999,0.08,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,8,-999,0.04,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,13,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,14,-999,0.08,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,15,-999,0.1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,16,-999,11.66,-999,-999,-999,-999,-999,0.0289,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,17,-999,0.16,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,18,-999,0.08,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,19,-999,0.25,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,20,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,21,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,22,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,23,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,24,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,25,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,26,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,27,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,28,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,29,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,30,-999,0.06,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,3,31,-999,0.1,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,1,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,2,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,3,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,4,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,5,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,6,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,7,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,8,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,9,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,10,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,11,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,12,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,13,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,14,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,15,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,16,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,17,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,18,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
1998,4,19,-999,0,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,-999,-999,-999
