      Run#     PARM1     PARM5    PARM12    PARM15    PARM16    PARM17    PARM20    PARM22    PARM23    PARM25    PARM34    PARM39    PARM40    PARM42    PARM44    PARM49    PARM50    PARM51    PARM61    PARM73    PARM83    PARM87    PARM88    PARM89    PARM90    PARM91    PARM92        WA        HI   Test_OF   Best_OF
         1     2.000     0.500     2.000     0.150     1.250     0.250     0.200     0.250     0.003     1.000     0.550     0.010     0.010     1.000     1.500     7.500     0.150     0.400     0.500     0.500     1.000     1.000     0.100     0.500     8.000     0.650     1.000     1.000     1.000    23.782    23.782
         2     1.983     0.984     1.678     0.230     1.244     0.194     0.196     0.323     0.003     1.011     0.565     0.012     0.087     1.442     1.627     3.838     0.166     0.335     0.767     0.401     3.272     0.949     0.072     0.670     8.358     0.432     0.723     0.982     0.978    42.451    23.782
         3     1.961     0.530     1.748     0.131     1.268     0.250     0.221     0.214     0.003     1.000     0.531     0.010     0.011     1.000     1.548     6.151     0.189     0.517     0.805     0.624     3.584     1.000     0.100     0.292     8.360     0.573     1.093     1.045     1.025    19.481    19.481
         4     1.601     0.530     1.772     0.051     1.276     0.250     0.221     0.214     0.003     1.159     0.540     0.010     0.157     1.000     1.685     6.151     0.147     0.517     0.851     0.624     1.774     0.807     0.100     0.536     8.360     0.493     1.677     1.045     1.017     7.955     7.955
         5     1.233     0.320     1.772     0.015     1.276     0.289     0.221     0.345     0.003     1.159     0.540     0.010     0.157     1.000     1.757     6.347     0.192     0.790     0.851     0.552     0.791     0.813     0.100     0.721     9.712     0.493     1.670     1.060     0.802    14.529     7.955
         6     1.601     0.325     1.772     0.051     1.353     0.250     0.221     0.345     0.003     1.159     0.540     0.010     0.157     1.928     1.855     6.156     0.147     0.406     0.921     0.386     1.774     0.959     0.100     0.536     8.360     0.448     1.746     1.077     1.070     0.568     0.568
         7     1.601     0.325     1.772     0.051     1.353     0.250     0.221     0.345     0.003     1.159     0.540     0.058     0.462     1.928     1.855     3.953     0.147     0.406     0.666     0.157     0.808     0.959     0.066     0.745     8.360     0.448     1.388     1.077     1.070     4.140     0.568
         8     1.601     0.325     1.971     0.113     1.353     0.250     0.221     0.345     0.003     1.159     0.515     0.010     0.157     1.928     1.855    10.054     0.147     0.406     0.898     0.449     1.774     0.959     0.100     0.536     8.360     0.448     1.312     1.077     1.070     9.334     0.568
         9     1.601     0.325     1.643     0.051     1.165     0.250     0.227     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.855     6.156     0.147     0.406     0.886     0.386     1.774     0.959     0.100     0.768     7.217     0.448     1.746     1.077     1.070     0.000     0.000
        10     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.855     6.156     0.147     0.406     0.886     0.386     1.774     0.959     0.100     0.768     7.217     0.687     1.751     1.077     1.070     0.000     0.000
        11     1.601     0.325     1.643     0.066     1.001     0.250     0.362     0.345     0.003     0.032     0.540     0.001     0.417     1.423     1.855     6.156     0.147     0.406     0.886     0.618     1.774     0.810     0.100     0.768     7.217     0.687     1.777     1.077     1.092     6.899     0.000
        12     1.764     0.325     1.643     0.066     1.165     0.250     0.201     0.345     0.003     1.159     0.540     0.001     0.417     1.514     1.855     6.156     0.147     0.297     0.886     0.378     1.774     0.959     0.297     0.768     5.956     0.687     1.751     1.077     1.070     1.218     0.000
        13     1.601     0.325     1.643     0.066     1.165     0.250     0.287     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.855     6.156     0.147     0.406     0.947     0.386     0.359     0.959     0.100     0.768     7.217     0.687     1.751     1.077     1.070     2.922     0.000
        14     1.601     0.194     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.855     6.156     0.147     0.406     0.886     0.481     1.774     0.899     0.214     0.768     9.826     0.687     1.751     1.077     1.070     0.081     0.000
        15     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.855     6.156     0.147     0.406     0.886     0.386     1.774     0.959     0.100     0.768     7.217     0.661     1.751     1.077     1.070     0.000     0.000
        16     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.683     6.156     0.147     0.406     0.886     0.386     1.774     0.959     0.100     0.768     7.217     0.661     1.751     1.077     1.070     0.000     0.000
        17     1.601     0.325     1.643     0.066     1.165     0.250     0.365     0.393     0.003     1.159     0.540     0.001     0.417     1.928     1.683     6.156     0.147     0.406     0.886     0.176     1.774     0.959     0.100     0.768     7.217     0.661     1.760     1.077     1.070     3.571     0.000
        18     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.540     0.001     0.417     1.928     1.683     6.156     0.147     0.406     0.886     0.386     3.948     0.959     0.185     0.768     7.217     0.661     1.751     1.077     1.070     0.000     0.000
        19     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.558     0.001     0.417     1.928     1.683     6.156     0.147     0.406     0.886     0.386     3.948     0.959     0.185     0.768     7.217     0.661     1.751     1.077     1.070     0.000     0.000
        20     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.558     0.001     0.417     1.928     1.683     6.156     0.147     0.406     0.886     0.386     3.948     0.959     0.009     0.768     7.217     0.661     1.751     1.077     1.070     0.000     0.000
        21     1.601     0.325     1.643     0.066     1.165     0.250     0.227     0.345     0.003     1.159     0.558     0.001     0.417     1.928     1.683     6.156     0.147     0.406     0.886     0.386     3.948     0.853     0.009     0.768     7.217     0.661     1.751     1.077     1.070     0.000     0.000
